"ACCT_NUM","EXPIRE_DT","CLI_NUM","CLI_LEGAL_NAME","CLI_DBA","CONTACT_NAME_PREFIX","CONTACT_NAME_FIRST","CONTACT_NAME_MIDDLE","CONTACT_NAME_LAST","CONTACT_NAME_SUFFIX","CONTACT_NAME","ATTN_NAME","FACILITY_NAME","COUNTY_NAME"
"0622173","46538.0","00472779","TONY'S GRAIN LLC","","","DAMIAN","W","HELLMAN","","DAMIAN W HELLMAN","DAMIAN W HELLMAN","2 TONY'S GRAIN LLC","COOKE"
"0727396","46418.0","00552200","LIVESTOCK NUTRITION CENTER LLC","","","STACI","L","WILSON","","STACI L WILSON","STACI L WILSON","LIVESTOCK NUTRITION CENTER","LAMAR"
"0738561","46326.0","00553801","REUS GRAIN LP","","","TAMMY","","REUS","","TAMMY  REUS","TAMMY  REUS","REUSE GRAIN","MEDINA"
"0719788","46599.0","00548527","CHAPA QUIROGA LLC","","","JAIME","A","MARTINEZ","","JAIME A MARTINEZ","JAIME A MARTINEZ","3 CHAPA QUIROGA (RAYMONDVILLE)","WILLACY"
"0719788","46599.0","00548527","CHAPA QUIROGA LLC","","","JAIME","A","MARTINEZ","","JAIME A MARTINEZ","JAIME A MARTINEZ","1 CHAPA QUIROGA (PROGRESSO)","HIDALGO"
"0719788","46599.0","00548527","CHAPA QUIROGA LLC","","","JAIME","A","MARTINEZ","","JAIME A MARTINEZ","JAIME A MARTINEZ","2 CHAPA QUIROGA (SAN BENITO)","CAMERON"
"0888805","46599.0","00657752","LONE STAR GRAIN-CHILLICOTHE LLC","","","TY","","SCARMARDO","","TY  SCARMARDO","TY  SCARMARDO","LONE STAR GRAIN CHILLICOTHE","HARDEMAN"
"0996826","46568.0","00723281","LOUIS DREYFUS COMPANY LLC","","","CHRISTINE","K","MCCLOUD","","CHRISTINE K MCCLOUD","CHRISTINE K MCCLOUD","ELM CREEK","RUNNELS"
"0805390","46507.0","00604488","ADJ ACQUISITION LLC","","","ADAM","","FARRELL","","ADAM  FARRELL","ADAM  FARRELL","MUMME'S","MEDINA"
"0805390","46507.0","00604488","ADJ ACQUISITION LLC","","","ADAM","","FARRELL","","ADAM  FARRELL","ADAM  FARRELL","2 ADJ RIO MEDINA","MEDINA"
"0805390","46507.0","00604488","ADJ ACQUISITION LLC","","","ADAM","","FARRELL","","ADAM  FARRELL","ADAM  FARRELL","3 ADJ","UVALDE"
"0837047","46599.0","00626264","R AND R COMMODITIES LLC","R AND R COMMODITIES LLC","","ANGELA","","VIDAL","","ANGELA  VIDAL","ANGELA  VIDAL","1  R AND R COMMODITIES LLC","BEE"
"0837047","46599.0","00626264","R AND R COMMODITIES LLC","R AND R COMMODITIES LLC","","ANGELA","","VIDAL","","ANGELA  VIDAL","ANGELA  VIDAL","2 R AND R COMMODITIES LLC","SAN PATRICIO"
"0974023","46326.0","00710653","ROBERTSON COUNTY GRAIN COMPANY LLC","","","LEON","A","DENENA","","LEON A DENENA","LEON A DENENA","ROBERTSON COUNTY GRAIN COMPANY","ROBERTSON"
"0613707","46418.0","00070226","LUBIANSKI GRAIN COMPANY","LUBIANSKI GRAIN AND STORE","","CRAIG","V","LUBIANSKI","","CRAIG V LUBIANSKI","CRAIG V LUBIANSKI","LUBIANSKI GRAIN WAREHOUSE","BEXAR"
"0237169","46538.0","00070403","SANDERSON GRAIN INC","SANDERSON GRAIN INC","","BRIAN","","SANDERSON","","BRIAN  SANDERSON","BRIAN  SANDERSON","SANDERSON GRAIN INC","LAMB"
"0613428","46507.0","00071113","K AG INC","K AG","","CHARLES","R","KRACKAU","","CHARLES R KRACKAU","CHARLES R KRACKAU","K AG INCORPORATED","GUADALUPE"
"0788607","46568.0","00593369","ELKINS GRAIN LLC","","","WILLIAM","L","ELKINS","","WILLIAM L ELKINS","WILLIAM L ELKINS","1 ELKINS GRAIN","HIDALGO"
"0763829","46446.0","00578184","CHILTON GRAIN COMPANY","","","RYAN","","WHITT","","RYAN  WHITT","RYAN  WHITT","1 CHILTON GRAIN","FALLS"
"0784871","46568.0","00591045","WNGU LLC","","","RODOLFO","","PLASCENCIA RUIZ","","RODOLFO  PLASCENCIA RUIZ","RODOLFO  PLASCENCIA RUIZ","WNGU PROGRESO","HIDALGO"
